,pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation
15,797.0,2023,20.2,5.2,217.0,34.0,20.461710787169643,27.153607341607955,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
16,786.8,2134,19.8,4.0,215.0,37.0,21.22232814498871,30.308625638692696,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
17,770.0,2319,19.0,2.0,224.0,32.0,22.229067854687912,23.018873610836835,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
18,759.3,2438,18.1,1.2,230.0,29.0,22.21528885045036,18.640840680909644,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
19,732.5,2743,15.7,-0.8,245.0,30.0,27.189233611099503,12.678547852220975,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
20,700.0,3128,12.6,-3.4,245.0,32.0,29.001849185172805,13.523784375702373,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
21,656.5,3658,7.6,-6.8,235.0,31.0,25.39371337295874,17.780869526882437,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
22,620.0,4129,3.2,-9.8,227.0,31.0,22.671964750194284,21.141949161937458,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
23,609.4,4267,2.0,-10.4,225.0,31.0,21.920310216782973,21.92031021678298,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
24,564.4,4877,-3.5,-13.0,230.0,27.0,20.683199964212402,17.355265461536565,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
25,541.0,5215,-6.5,-14.5,239.0,35.0,30.000855524573925,18.026332621851903,OUN,72357,2013-05-31 18:00:00,35.18,-97.44,345.0
